maxQuiescenceDepth, maxCheckSearchDepth, nullMoveReduction, minExtensionHorizon, simpleCheckExtension, attackCheckExtension, forcedMoveExtension, mateExtension, rankAttackExtension, pawnOnSevenRankExtension, protectingPawnOnSixRankExtension, recaptureMinExtension, recaptureMaxExtension, recaptureBeginMinTreshold, recaptureBeginMaxTreshold, recaptureTargetTreshold, totalTime, totalNodeCount
19, 16, 5, 6, 0.931640625, 0.9990234375, 0.67578125, 0.4326171875, 0.962890625, 0.7822265625, 0.9990234375, 0.0, 0.50390625, 2.85, 4.805, 0.0, 20970, 37002856
19, 1, 4, 4, 0.6240234375, 0.9990234375, 0.5830078125, 0.9990234375, 0.994140625, 0.41015625, 0.9423828125, 0.177734375, 0.9990234375, 5.21, 5.58, 0.0, 19961, 34932761
19, 17, 5, 5, 0.4052734375, 0.9990234375, 0.931640625, 0.9990234375, 0.39453125, 0.9990234375, 0.890625, 0.1064453125, 0.9775390625, 0.0, 4.858, 2.024, 21971, 38948986
1, 0, 5, 7, 0.0, 0.62890625, 0.37890625, 0.9990234375, 0.669921875, 0.904296875, 0.9990234375, 0.541015625, 0.724609375, 0.0, 3.686, 0.0, 20366, 35941081
11, 8, 1, 6, 0.54296875, 0.8330078125, 0.7890625, 0.681640625, 0.9990234375, 0.9990234375, 0.751953125, 0.2578125, 0.408203125, 6.071, 6.072, 0.0, 20159, 35294712
11, 7, 2, 7, 0.806640625, 0.873046875, 0.5166015625, 0.9990234375, 0.4033203125, 0.9990234375, 0.9990234375, 0.0, 0.6572265625, 1.555, 6.637, 0.0, 20971, 37299691
16, 10, 5, 3, 0.3515625, 0.9990234375, 0.7802734375, 0.560546875, 0.9990234375, 0.220703125, 0.9990234375, 0.634765625, 0.85546875, 2.164, 5.182, 0.0, 20969, 37198389
11, 10, 5, 7, 0.54296875, 0.986328125, 0.7138671875, 0.9990234375, 0.0, 0.9990234375, 0.9990234375, 0.3486328125, 0.6875, 0.0, 3.211, 1.607, 20370, 35956091
19, 13, 1, 7, 0.9990234375, 0.9990234375, 0.7861328125, 0.9990234375, 0.8330078125, 0.9990234375, 0.9990234375, 0.0439453125, 0.275390625, 0.0, 3.9, 7.325, 17001, 28004382
5, 4, 3, 6, 0.275390625, 0.7353515625, 0.9990234375, 0.9990234375, 0.6328125, 0.9990234375, 0.80859375, 0.193359375, 0.9990234375, 0.0, 6.256, 0.151, 20573, 36690095
19, 12, 5, 5, 0.9990234375, 0.9990234375, 0.6953125, 0.9990234375, 0.8115234375, 0.9990234375, 0.9990234375, 0.08984375, 0.529296875, 1.836, 4.001, 2.758, 20569, 36438985
7, 6, 3, 7, 0.685546875, 0.9853515625, 0.3388671875, 0.9990234375, 0.677734375, 0.75, 0.9990234375, 0.0, 0.5068359375, 0.451, 8.999, 0.0, 20767, 37042021
8, 7, 5, 7, 0.60546875, 0.9990234375, 0.8134765625, 0.6337890625, 0.9990234375, 0.9990234375, 0.9990234375, 0.091796875, 0.9970703125, 2.915, 3.851, 0.0, 16798, 27783813
1, 0, 5, 7, 0.568359375, 0.9990234375, 0.943359375, 0.6259765625, 0.314453125, 0.677734375, 0.5888671875, 0.0, 0.7705078125, 1.466, 4.113, 0.0, 21369, 39023924
19, 12, 3, 7, 0.1796875, 0.9990234375, 0.62109375, 0.90625, 0.3076171875, 0.9990234375, 0.5849609375, 0.228515625, 0.9990234375, 2.423, 5.683, 3.368, 21367, 37588881
12, 10, 5, 6, 0.240234375, 0.9990234375, 0.8203125, 0.5009765625, 0.0, 0.8974609375, 0.8720703125, 0.0, 0.3173828125, 5.911, 6.225, 0.0, 20366, 35798366
13, 12, 5, 7, 0.673828125, 0.9990234375, 0.26953125, 0.9990234375, 0.4091796875, 0.998046875, 0.8515625, 0.546875, 0.5478515625, 0.0, 8.473, 0.0, 16192, 26409000
14, 10, 5, 7, 0.9267578125, 0.9833984375, 0.8359375, 0.8134765625, 0.1123046875, 0.9990234375, 0.5810546875, 0.0, 0.9912109375, 2.529, 2.53, 2.651, 22577, 41005681
10, 7, 3, 4, 0.763671875, 0.9990234375, 0.3212890625, 0.9453125, 0.9453125, 0.8583984375, 0.7578125, 0.0, 0.9990234375, 0.885, 8.999, 0.0, 20770, 36884866
8, 7, 2, 7, 0.11328125, 0.62890625, 0.5830078125, 0.9990234375, 0.9990234375, 0.9990234375, 0.2373046875, 0.0, 0.9990234375, 0.0, 2.414, 0.606, 21575, 40586438
19, 8, 4, 7, 0.9990234375, 0.9990234375, 0.9990234375, 0.908203125, 0.6806640625, 0.755859375, 0.2119140625, 0.1748046875, 0.7978515625, 6.784, 6.785, 0.0, 20365, 36995497
12, 5, 4, 4, 0.021484375, 0.9990234375, 0.9345703125, 0.7841796875, 0.9990234375, 0.634765625, 0.9990234375, 0.0595703125, 0.9990234375, 3.518, 3.519, 2.581, 20369, 35205029
13, 11, 2, 7, 0.0, 0.9990234375, 0.8310546875, 0.6357421875, 0.7958984375, 0.6494140625, 0.06640625, 0.0, 0.4775390625, 4.222, 4.223, 0.482, 21367, 38271468
8, 7, 5, 5, 0.2529296875, 0.9990234375, 0.4443359375, 0.9990234375, 0.693359375, 0.9990234375, 0.984375, 0.2705078125, 0.4306640625, 3.315, 7.099, 4.179, 20573, 36464924
13, 8, 5, 1, 0.267578125, 0.9794921875, 0.9990234375, 0.9990234375, 0.2275390625, 0.9990234375, 0.9990234375, 0.474609375, 0.5859375, 4.139, 5.784, 0.075, 20369, 35938983
12, 11, 5, 5, 0.76953125, 0.9990234375, 0.9990234375, 0.9990234375, 0.607421875, 0.9990234375, 0.98046875, 0.0, 0.3017578125, 5.041, 5.807, 2.718, 21774, 38818813
